oséias oséias
na em_o
sala sala
de de
cinema cinema
com com
o o
filme filme
comigo com_eu
pra pra
você você
sorrir sorrir
2 2
olha olhar
eu eu
queria querer
informar informar
pra pra
você você
que que
o o
evangelho evangelho
é ser
o o
poder poder
de de
deus deus
para para
transformar transformar
a o
vida vida
de de
um um
homem homem
aleluia aleluiar
o o
evangelho evangelho
é ser
a o
alegria alegria
por por
duas dois
horas hora
de de
cuba cuba
nem nem
ambiente ambiente
gostoso gostoso
que que
o o
amigo amigo
você você
tá estar
enganado enganar
o o
evangelho evangelho
o o
evangelho evangelho
é ser
muito muito
mais mais
profundo profundo
do de_o
que que
a o
gente gente
possa poder
pensar pensar
é ser
muito muito
mais mais
extenso extenso
do de_o
que que
você você
possa poder
imaginar imaginar
e e
é ser
muito muito
tremendo tremendo
para para
nos nós
abençoar abençoar
tá estar
faltando faltar
você você
mais mais
um um
minuto minuto
eu eu
vou ir
orar orar
por por
essas esse
queridos querido
que que
estão estar
aqui aqui
volte voltar
volte voltar
volte voltar
pra pra
jesus jesus
só só
tem ter
dois dois
lugares lugar
que que
o o
homem homem
passar passar
a o
eternidade eternidade
se se
ao a_o
inferno inferno
tem ter
um um
terceiro terceiro
não não
tem ter
por por
cartório cartório
e e
aqui aqui
nessa em_esse
vida vida
que que
você você
decide decidir
a o
eternidade eternidade
você você
está estar
pensando pensar
em em
voltar voltar
pra pra
jesus jesus
tem ter
gente gente
na em_o
tua tua
casa casa
que que
ora ora
por por
você você
é ser
meu meu
não não
é ser
querida querer
eu eu
quero querer
dizer dizer
uma um
coisa coisa
pra pra
vocês você
e e
vou ir
encerrar encerrar
embora embora
vou ir
repetir repetir
no em_o
mundo mundo
vida vida
de de
ninguém ninguém
eu eu
não não
transforma transformar
a o
vida vida
de de
ninguém ninguém
agora agora
filho filho
quando quando
uma um
pessoa pessoa
entrega entregar
sua seu
vida vida
a a
cristo cristo
a a
um um
poder poder
sobrenatural sobrenatural
que que
se se
manifesta manifestar
na em_o
tua tua
vida vida
pra pra
perdoar perdoar
os o
pecados pecado
para para
libertar libertar
você você
para para
transformar transformar
você você
pra pra
mudar mudar
pra pra
limpar limpar
para para
tirar tirar
tudo tudo
aquilo aquilo
que que
afasta afastar
de de
deus deus
sugestões sugestão
e e
fazer fazer
você você
teve ter
da de_o
abundante abundante
isso isso
é ser
que que
é ser
o o
evangelho evangelho
não não
é ser
o o
culto culto
da de_o
igreja igreja
que que
muda mudar
sólida sólido
você você
tá estar
precisando precisar
tomar tomar
uma um
atitude atitude
séria sério
tem ter
gente gente
aqui aqui
brincando brincar
com com
o o
evangelho evangelho
tá estar
pensando pensar
que que
vem vir
a o
igreja igreja
porque porque
da de_o
disney disney
a o
oferta oferta
pode poder
isso isso
é ser
que que
resolve resolver
hamas hamas
se se
pode poder
dar dar
o o
dinheiro dinheiro
que que
fofa fofar
projeto projeto
do de_o
mesmo mesmo
jeito jeito
o o
dinheiro dinheiro
não não
compra comprar
a o
salvação salvação
meu meu
filho filho
a a
oferta oferta
na em_o
igreja igreja
não não
faz fazer
deus deus
quebrar quebrar
seu seu
galho galho
primeiro primeiro
que que
deus deus
macaco macaco
gordo gordo
não não
quer querer
ganhar ganhar
de de
ninguém ninguém
você você
tá estar
passando passar
de de
jesus jesus
está estar
pensando pensar
em em
voltar voltar
pra pra
ele ele
você você
pode poder
ver ver
com com
coisas coisa
escondidas esconder
que que
ninguém ninguém
sabe saber
você você
olha olhar
a a
deus deus
minha meu
mão mão
eu eu
sei saber
que que
eu eu
estou estar
falando falar
aqui aqui
pela por_o
mão mão
você você
sabe saber
quando quando
é ser
que que
eu eu
mudei mudar
a o
mensagem mensagem
eu eu
falei falar
pra pra
vocês você
aqui aqui
na em_o
inauguração inauguração
olha olhar
eu eu
vou ir
pegar pegar
a o
mensagem mensagem
que que
não não
vai ir
ser ser
refreio refreio
depois depois
eu eu
saí sair
disse dizer
não não
vou ir
pegar pegar
esse esse
negócio negócio
não não
é ser
regional regional
aí aí
preparei preparar
uma um
outra outro
mensagem mensagem
para para
pegar pegar
aqui aqui
vou ir
pegar pegar
funcional funcional
ao a_o
espírito espírito
santo santo
no em_o
meu meu
coração coração
e e
é ser
você você
quem quem
decide decidir
é ser
você você
que que
sabe saber
da de_o
necessidade necessidade
é ser
você você
pra pra
que que
você você
quer querer
sou ser
eu eu
eu eu
tô tô
pegando pegar
isso isso
porque porque
deus deus
quer querer
fazer fazer
coisas coisa
grandes grande
na em_o
vida vida
de de
gente gente
que que
está estar
aqui aqui
brincando brincar
com com
o o
evangelho evangelho
tá estar
dentro dentro
da de_o
igreja igreja
mais mais
tarde tarde
em em
pecado pecado
dentro dentro
da de_o
igreja igreja
mais mais
tarde tarde
no em_o
pecado pecado
deus deus
tá estar
falando falar
com com
você você
também também
está estar
com com
vergonha vergonha
das de_o
pessoas pessoa
ninguém ninguém
aqui aqui
pode poder
mudar mudar
sua seu
vida vida
nem nem
eu eu
ninguém ninguém
aqui aqui
pode poder
perdoar perdoar
os o
pecados pecado
ninguém ninguém
aqui aqui
pode poder
transformar transformar
só só
ele ele
e e
só só
ele ele
um um
coração coração
quebrantado quebrantado
encontre encontrar
do de_o
governo governo
despreza desprezar
tem ter
alguém alguém
aqui aqui
que que
ainda ainda
precisa precisar
voltar voltar
pra pra
jesus jesus
tem ter
alguém alguém
vivendo viver
em em
pecado pecado
que que
vai ir
consertar consertar
sua seu
vida vida
sai sair
do de_o
seu seu
lugar lugar
firme firme
e e
sair sair
rápido rápido
porque porque
eu eu
não não
sei saber
se se
deus deus
vai ir
te tu
dá dar
uma um
outra outro
chance chance
mas mas
eu eu
sei saber
que que
ele ele
está estar
te tu
dando dar
hoje hoje
está estar
sendo ser
duro duro
que que
eu eu
estou estar
falando falar
é ser
porque porque
deus deus
ama amar
você você
está estar
na em_o
tuas tuas
mãos mão
desse de_esse
dia dia
a o
tua tua
vida vida
e e
até até
a o
eternidade eternidade
está estar
na em_o
mão mão
de de
deus deus
não não
tá estar
na em_o
tua tua
tá estar
na em_o
tua tua
mão mão
tá estar
na em_o
tua tua
não não
decidiu decidir
seu seu
futuro futuro
ea ea
eternidade eternidade
que que
você você
quer querer
se se
eu eu
tô tô
pegando pegar
essa esse
mensagem mensagem
essas esse
pessoas pessoa
ouviram ouvir
entenderam entender
é ser
o o
vovô vovô
a ela
estende estender
a o
mão mão
em em
direção direção
a a
essas esse
pessoas pessoa
você você
que que
tá estar
aqui aqui
na em_o
frente frente
fala falar
com com
deus deus
suas seu
palavras palavra
sua seu
mente mente
liga ligar
jesus jesus
entrar entrar
na em_o
minha meu
vida vida
perdoai perdoar
os o
pecados pecado
da de_o
minha meu
vida vida
quando quando
você você
qual qual
é ser
o o
teu teu
problema problema
foi ser
a o
área área
que que
você você
está estar
vulnerável vulnerável
qual qual
é ser
a o
área área
que que
você você
precisa precisar
de de
um um
toque toque
de de
deus deus
e e
falei falar
pra pra
ele ele
senhor senhor
eu eu
quero querer
entregar entregar
essas esse
vidas vida
nas em_o
tuas tuas
mãos mão
eu eu
quero querer
declarar declarar
um um
novo novo
tempo tempo
eu eu
declaro declarar
uma um
nova novo
vida vida
eu eu
declaro declarar
libertação libertação
eu eu
declaro declarar
salvação salvação
eu eu
declaro declarar
vida vida
eu eu
declaro declarar
a o
bênção bênção
de de
deus deus
sobre sobre
a o
sua seu
vida vida
você você
pertence pertencer
a a
jesus jesus
eu eu
declaro declarar
a o
sua seu
vitória vitória
em em
nome nome
de de
jesus jesus
amém amém
